# Copyright (c) 2023 by Azure
#
# Endless Sky is free software: you can redistribute it and/or modify it under the
# terms of the GNU General Public License as published by the Free Software
# Foundation, either version 3 of the License, or (at your option) any later version.
#
# Endless Sky is distributed in the hope that it will be useful, but WITHOUT ANY
# WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A
# PARTICULAR PURPOSE. See the GNU General Public License for more details.
#
# You should have received a copy of the GNU General Public License along with
# this program. If not, see <https://www.gnu.org/licenses/>.


# Kinetic Weapons:

outfit "Speck Round"
	category "Ammunition"
	series "Ammunition"
	index 07010
	cost 6
	thumbnail "outfit/speck round"
	"mass" 0.003
	"speck capacity" -1
	description "这些高密度缠绕的金属玻璃弹丸可通过超高速撞击造成可观的动能伤害，但极易被动量排斥护盾系统拦截。"


outfit "Speck Magazine"
	category "Ammunition"
	series "Ammunition"
	index 07011
	cost 12000
	thumbnail "outfit/speck magazine"
	"mass" 2.4
	"outfit space" -6
	"speck capacity" 1200
	ammo "Speck Round"
	description "虽然斑点线圈炮在其内置弹匣中携带了相当数量的弹药，但为支持更长时间的远征或补给作业，阿维吉人会使用这类紧凑型弹药储存装置。"


outfit "Speckle Coilgun"
	category "Guns"
	series "Guns"
	index 07010
	cost 32000
	thumbnail "outfit/speckle coilgun"
	"mass" 6.3
	"outfit space" -9
	"weapon capacity" -9
	"energy capacity" 90
	"gun ports" -1
	"speck capacity" 900
	weapon
		"sound" "speckle"
		ammo "Speck Round"
		"fire effect" "speckle fire"
		"inaccuracy" 0.9
		"velocity override" 30
		"reload" 18
		"burst reload" 6
		"burst count" 3
		"cluster"
		"firing energy" 36
		"firing heat" 30
		"firing force" 12
		"submunition" "Speck"
	description "这款紧凑型线圈炮发射一连串超高速弹丸：电容器通过一系列线圈放电，产生行进中的磁能波，从而持续加速弹丸。该武器主要为无人机及小型飞船设计，虽结构相对简单，却极为致命。"
	description "	由于射程有限，‘斑点’脉冲炮最擅长的战术是悄然逼近敌舰，在极近距离开火——此时它能高效撕裂敌舰的装甲与船体。然而，其对护盾效果甚微，质量驱动炮弹往往被护盾轻易弹开。"
	description "	Ammunition for this weapon can be restocked at any outfitter."
		to display
			has "gamerule: universal ammo restocking"
	

outfit "Speckle Turret"
	category "Turrets"
	series "Turrets"
	index 07020
	cost 90000
	thumbnail "outfit/speckle turret"
	"mass" 18.6
	"outfit space" -24
